사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Feb-23,2호선,215,잠실나루,6,0,"2,973","1,632","10,282","9,582","32,535","20,037","43,621","35,998","28,882","23,845","23,577","18,421","23,147","16,199","22,400","19,844","20,713","20,854","21,988","18,849","23,930","18,817","27,938","19,264","34,959","24,779","29,551","37,262","14,103","28,108","10,508","17,127","7,884","17,155","6,064","16,450","2,709","9,094",395,"2,713",0,63,0,0,0,0
Feb-23,2호선,216,잠실(송파구청),80,8,"11,896","4,478","41,964","29,563","110,019","73,758","156,682","179,145","114,805","177,684","78,293","127,648","80,519","119,447","89,725","112,955","97,709","115,385","106,968","111,118","125,539","120,997","146,444","134,676","187,174","166,640","232,705","225,214","167,816","150,016","176,375","95,295","152,395","87,954","94,923","81,601","29,498","45,889","4,296","9,275",1,200,0,0,0,0
Feb-23,2호선,217,잠실새내,41,0,"4,656",801,"14,927","7,679","48,300","14,409","71,445","26,894","47,402","29,874","31,758","23,343","30,265","25,303","32,943","28,516","32,446","31,841","29,919","33,601","33,313","37,168","34,007","41,938","38,036","56,471","41,426","83,661","29,667","58,013","26,623","34,433","26,233","30,077","25,193","28,449","14,274","16,055","2,174","4,745",1,135,0,0,0,0
Feb-23,2호선,218,종합운동장,31,0,"1,248",912,"5,211","8,037","14,462","11,155","21,110","18,833","15,572","14,791","11,232","11,251","10,550","8,049","11,283","10,845","10,336","12,759","16,244","12,026","13,427","14,606","14,242","13,747","15,638","16,610","15,665","25,711","10,140","16,613","8,147","10,036","9,877","10,321","5,776","9,660","1,882","5,669",271,"1,566",1,108,0,1,0,0
Feb-23,2호선,219,삼성(무역센터),136,0,"4,341","4,964","6,479","38,992","12,346","129,484","17,387","329,602","18,889","232,387","21,775","111,987","32,558","84,568","41,553","76,166","57,081","81,538","72,224","71,399","94,831","59,614","121,671","55,129","208,768","57,018","307,149","60,631","155,867","32,505","115,935","16,984","100,797","14,547","62,278","11,116","19,348","6,294","2,558","3,451",1,"1,060",0,0,0,0
Feb-23,2호선,220,선릉,87,5,"4,531","5,797","9,777","37,993","18,022","104,965","30,135","271,378","29,486","216,741","32,601","104,807","42,779","62,566","51,656","58,086","60,082","64,262","71,853","53,269","90,319","46,663","115,261","46,206","187,001","51,142","290,677","58,144","145,601","36,194","93,336","21,156","88,227","18,250","71,433","16,457","27,275","9,922","4,248","4,334",1,143,0,1,0,0
Feb-23,2호선,221,역삼,34,1,"3,381","6,825","8,143","37,224","13,595","141,765","24,670","358,774","21,814","302,267","23,042","131,061","31,301","68,545","38,947","58,966","47,239","65,088","56,648","51,352","74,470","45,345","94,575","42,094","205,394","50,148","278,718","59,491","156,723","36,790","92,475","20,868","87,048","17,510","59,603","14,988","22,619","9,006","3,498","3,152",1,90,0,0,0,0
Feb-23,2호선,222,강남,202,3,"9,155","10,945","17,058","48,336","35,821","139,749","59,164","285,458","50,214","303,328","50,283","150,366","68,578","110,182","83,958","106,252","101,006","121,993","111,987","106,388","138,053","100,523","162,058","108,611","236,104","137,401","306,974","185,154","207,605","113,812","162,708","57,634","189,032","45,975","176,734","38,379","85,156","23,201","14,660","7,234",5,150,0,1,0,0
Feb-23,2호선,223,교대(법원.검찰청),20,1,"2,387","6,459","10,296","22,505","22,148","50,448","34,804","148,647","28,673","135,445","25,864","65,464","31,524","60,325","35,426","52,612","43,586","54,898","52,244","48,152","56,680","45,739","59,415","45,985","95,470","61,917","134,800","73,335","67,353","44,667","53,085","25,069","56,306","22,211","45,153","20,763","17,614","11,052","3,245","3,247",1,40,0,2,0,0
Feb-23,2호선,224,서초,23,0,"1,678","4,902","7,889","19,117","16,495","44,800","26,644","110,222","26,334","88,896","20,042","40,991","26,882","33,548","25,127","24,915","32,640","28,779","34,071","24,786","41,504","20,232","43,610","22,143","70,327","25,372","95,135","27,036","44,904","19,210","30,790","10,648","29,986","10,302","20,389","9,943","6,084","5,584",901,"1,455",0,7,0,0,0,0
Feb-23,2호선,225,방배,1,0,"2,204","2,528","8,276","11,412","19,277","22,963","28,863","66,210","23,508","41,752","17,662","23,352","18,979","18,973","20,470","19,598","21,969","22,703","22,829","21,120","24,795","20,951","29,809","22,177","39,217","28,328","60,652","33,498","27,107","26,114","19,291","16,338","18,739","15,387","14,615","15,502","6,185","8,887","1,043","2,599",0,13,0,0,0,0
Feb-23,2호선,226,사당,74,6,"11,299","4,016","24,270","31,796","68,374","39,282","92,291","61,584","73,104","49,372","46,848","42,102","42,779","55,523","49,282","55,927","51,211","51,871","57,226","50,437","60,011","60,834","62,441","80,276","74,349","117,761","91,684","163,781","64,188","118,925","61,534","68,386","67,582","63,274","66,279","58,916","36,251","36,701","5,786","10,769",2,626,0,0,0,0
Feb-23,2호선,227,낙성대(강감찬),36,0,"10,131","2,074","22,952","8,761","74,366","14,415","122,371","35,677","79,271","29,069","42,657","23,671","36,465","22,046","38,807","25,555","38,288","26,960","33,648","29,164","32,611","35,094","36,767","40,518","42,476","54,879","47,691","93,645","26,472","86,175","20,943","52,652","19,396","48,810","15,633","50,208","8,105","31,121","1,364","9,438",2,178,0,0,0,0
Feb-23,2호선,228,서울대입구(관악구청),"4,144",29,"25,221","2,231","37,523","11,804","116,820","21,617","169,578","56,411","117,115","54,946","66,866","44,753","57,926","44,510","62,703","48,037","67,644","52,911","60,802","54,629","59,487","61,909","66,705","72,993","73,622","98,670","84,959","158,218","51,814","141,170","43,767","81,816","46,026","75,947","41,543","73,520","22,184","45,700","3,563","17,585",0,"2,953",0,0,0,0
Feb-23,2호선,229,봉천,47,1,"13,542","1,436","25,295","6,026","75,665","9,724","116,314","23,599","71,366","19,556","38,788","17,825","31,742","20,972","34,538","22,355","33,760","24,652","29,196","27,517","27,771","34,946","29,495","39,902","29,120","52,057","31,626","81,291","19,240","73,424","15,635","44,162","13,825","40,364","10,609","39,295","4,816","24,043",937,"7,724",1,447,0,1,0,0
Feb-23,2호선,230,신림,187,8,"34,559","3,721","63,021","16,594","173,198","21,558","257,903","41,254","158,972","40,479","86,461","37,443","71,729","44,307","75,542","48,857","72,610","55,276","67,888","60,699","66,078","76,640","71,133","92,545","74,298","126,541","78,144","211,064","52,458","200,737","44,306","120,983","43,736","112,653","38,780","106,614","23,731","68,806","4,634","21,346",5,660,0,0,0,0
Feb-23,2호선,231,신대방,175,2,"21,353","1,650","30,475","8,405","80,980","14,455","124,924","24,458","77,271","17,306","42,309","16,087","34,995","17,622","35,245","20,740","33,239","23,436","29,490","27,122","27,892","36,012","29,857","42,045","31,523","56,853","32,492","84,605","19,682","80,632","14,570","53,205","11,955","54,624","9,292","51,234","4,721","30,332",891,"8,447",0,253,0,0,0,0
Feb-23,2호선,232,구로디지털단지,246,12,"32,814","4,617","47,827","18,069","128,641","74,520","178,810","225,060","109,284","140,844","63,897","58,903","58,568","42,813","64,474","46,422","64,111","57,974","59,439","56,897","63,117","63,347","75,176","75,714","127,683","102,804","210,730","153,552","101,556","139,106","63,919","83,832","56,135","81,772","42,995","77,440","20,359","47,360","3,327","13,370",1,357,0,0,0,0
Feb-23,2호선,233,대림(구로구청),548,23,"29,583","3,314","27,226","9,618","59,197","20,005","87,616","52,448","58,173","32,908","34,893","28,978","33,392","31,867","34,000","30,679","32,835","31,807","31,547","32,273","32,370","38,971","35,596","46,524","42,198","56,373","50,893","64,484","25,754","52,355","18,951","35,803","14,493","44,061","10,802","40,925","5,174","20,603",854,"5,466",1,187,0,1,0,0
Feb-23,2호선,234,신도림,"3,358",20,"30,223","4,507","46,510","18,848","126,849","38,124","137,622","107,340","83,996","62,230","57,510","59,164","57,792","60,374","63,959","62,634","66,325","66,987","69,160","63,733","73,420","70,278","80,818","80,438","98,953","109,405","120,986","167,820","71,307","124,790","59,105","69,904","62,762","66,069","51,885","63,256","21,473","49,025","2,581","20,693",6,"2,520",0,1,0,0
Feb-23,2호선,235,문래,6,0,"3,725","1,824","12,215","10,212","40,271","33,706","46,615","122,816","25,861","58,514","18,635","25,185","19,036","22,873","22,640","24,693","24,113","25,959","24,119","24,150","27,570","25,000","33,366","29,214","56,892","36,362","104,949","56,143","38,879","40,357","26,425","21,218","28,283","18,231","22,156","16,523","10,823","10,788","1,799","3,196",4,82,0,0,0,0
Feb-23,2호선,236,영등포구청,32,1,"4,804","2,889","11,398","11,508","35,281","34,311","45,294","118,743","27,699","52,275","21,309","26,174","22,570","23,473","24,411","24,073","25,988","26,723","28,206","25,405","28,876","25,435","35,181","28,831","51,855","34,821","100,385","53,299","36,032","36,716","26,616","21,107","26,150","19,386","19,294","17,171","9,193","11,341","1,486","4,163",3,148,0,0,0,0
